who,attribute,value,txn
0x000000000000000000000000000000000000155C,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8f047b5638fdff2a41d7e01817c142d249a73dbd9e89f5cdb9b56578fd7b1d5a
0x0000000000000000000000000000000000001564,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x886c00d386cd18f5c1da67ad9fa91008e532b3317a6093a1e20a20af8d319b1e
0x000000000000000000000000000000000000156b,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x86fc36ba1ac12de57f5fbbfd9ea349e11831e7760e9bd9293805e142d60c796e
0x000000000000000000000000000000000000131A,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8850afa457b80a9ffbc8c95039b2ea22484aef4bc0ca5de01775976dda494b4b
0x000000000000000000000000000000000000156c,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8131146586729ec1fc70b28742baaf9e4570966f745bbe61f4f1e897fca96c26
0x0000000000000000000000000000000000000816,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x81bf65055254ac117aa3e71a8dfea5cbb82d05ae5cc21798ea346ea8ebc6ee93
0x00000000000000000000000000000000000013b1,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x85b0c9fcce6d7a066678c350654cfbf1baa74c5689e9c08da10e22433cb4842f
0x0000000000000000000000000000000000001577,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x80c15889c9d072dba5f12de053436a5bd515fcb07c89e69bb203c1bf545fc076
0x0000000000000000000000000000000000000DFD,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x812880c081f34dfd529d77b2d6f7b9f385bcc7b09d36fe2b943e6dff26ff014c
0x000000000000000000000000000000000000156a,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x80a246feb5333aaa6cc1bd97dc4ed0e809e0d4b581082b9df82d6f325fc9d246
0x0000000000000000000000000000000000001283,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8415cf7156ba4bc21da393374a8612877d1c92fcf23422fb643335d7c871783a
0x0000000000000000000000000000000000001590,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x818a78fcfae65a31d4b371431c5bacd0c2c60690669e643bead01c167e413f1c
0x0000000000000000000000000000000000001597,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x83684126adcb3412aca4457338daa34e5a9511e3441304b0eba9deb90fb34daf
0x0000000000000000000000000000000000001598,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8c792bbeb9815dd5bab43d359a4b7d96fcf0ac3d164570daddb24d7d38bb0c33
0x00000000000000000000000000000000000015a2,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8b7bd6e5a1172b6e6e0259be4e369191a85a95beafd80a4c3c97773ba44dc047
0x000000000000000000000000000000000000159C,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8c5ee1f30906c78f0e1fd3e6e2edf1d66766f7a399924a4a6826bb37effd4f15
0x00000000000000000000000000000000000015A0,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8abc270e0275ea05082b34f0c4b88698c8e9105e207fc068cf81d93c9de6051f
0x0000000000000000000000000000000000001596,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x80fffb2c1048156a9fb18eded8ed7af3340d1ce9178888a08666c94f23fcacf0
0x00000000000000000000000000000000000015a5,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8b809d950083e1efd11f509b6dddef9bf6447815740b90702fe9d8aa9e1cf719
0x00000000000000000000000000000000000015A7,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8e1321ee76e9a9c786c0d9881172df3555171e01a29fde19b0b1d6a870c5a2e0
0x00000000000000000000000000000000000015A7,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8fe1c787ba6dd48e8fe9a0d8706cce8be90b5ebca1141a4a6cc9dc2c616699ca
0x000000000000000000000000000000000000157d,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x86a4d3b744856ee8727ab97d86500a153f0b9c47b86275cede427327be63f9f7
0x00000000000000000000000000000000000009d4,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x813f1011f67e2f3274da1ef10c52b4d601bb0d2798ce1f0a59b2b9a23ecd0ad9
